"","coname","locnum","staddr","stcity","state","zip","year","source","latitude","longitude","store_type","naics_6"
"1229","Edgemere Mini Mart","402298762","734 Grafton St Ste 1","Worcester","MA","01604",2021,"Data Axle","042.250510",-71.767196,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1230","CVS/PHARMACY","402308981","947 Providence Hwy","Dedham","MA","02026",2021,"Data Axle","042.233145",-71.180624,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"1231","Gold Star Convenience","402322688","319 Boston Ave","Medford","MA","02155",2021,"Data Axle","042.411734",-71.122265,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1232","Quarry Stone","402322694","10 Overlook Ridge Dr Unit 131","Malden","MA","02148",2021,"Data Axle","042.438174",-71.021828,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1233","Zion Tropical Market","402359274","3 E Mountain St # A","Worcester","MA","01606",2021,"Data Axle","042.324038",-71.79267,"Supermarket or Other Grocery","445110"
"1234","Tufts Market","402362583","734 Broadway","Somerville","MA","02144",2021,"Data Axle","042.400155",-71.113362,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1235","North End Seafood Co","402387081","970 County St","Somerset","MA","02726",2021,"Data Axle","041.746269",-71.144753,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445220"
"1236","Hernandez Market","402395054","47 Loring St","Lawrence","MA","01843",2021,"Data Axle","042.699733",-71.146748,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1237","Cumberland Farms","402403421","176 S Main St","Acushnet","MA","02743",2021,"Data Axle","041.680721",-70.909113,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1238","Friendly Farm Convenience","402403423","121 Sconticut Neck Rd","Fairhaven","MA","02719",2021,"Data Axle","041.633895",-70.876633,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1239","Star Market","402457094","535 Trapelo Rd","Belmont","MA","02478",2021,"Data Axle","042.388535",-71.191124,"Supermarket or Other Grocery","445110"
"1240","Shaw's Supermarket","402457098","715 Crescent St","Brockton","MA","02302",2021,"Data Axle","042.079570",-70.990615,"Supermarket or Other Grocery","445110"
"1241","Shaw's Supermarket","402457111","780 S Main St","Sharon","MA","02067",2021,"Data Axle","042.094444",-71.22176,"Supermarket or Other Grocery","445110"
"1242","CVS/PHARMACY","402495021","180 Somerville Ave","Somerville","MA","02143",2021,"Data Axle","042.376427",-71.090446,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"1243","CVS/PHARMACY","402495028","7 Allstate Rd","Dorchester","MA","02125",2021,"Data Axle","042.329307",-71.062672,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"1244","DB Mart","402535862","804 Pond St","Franklin","MA","02038",2021,"Data Axle","042.117723",-71.430374,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1245","Vale DO Aco","402536039","132 Main St","Milford","MA","01757",2021,"Data Axle","042.149223",-71.507647,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445210"
"1246","DB Mart","402536186","1 Milford St","Mendon","MA","01756",2021,"Data Axle","042.107867",-71.553077,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1247","Norfolk Food Mart","402536187","10 Rockwood Rd","Norfolk","MA","02056",2021,"Data Axle","042.120599",-71.325264,"Supermarket or Other Grocery","445110"
"1248","BJ'S Wholesale Club","402570373","66 Seyon St","Waltham","MA","02453",2021,"Data Axle","042.370000",-71.2368,"Warehouse Clubs and Supercenters","452311"
"1249","Sandri Convenience Store","402576611","295 Federal St","Greenfield","MA","01301",2021,"Data Axle","042.600403",-72.593843,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1250","Village Mini Mart","402582545","135 Cotuit Rd","Marstons Mills","MA","02648",2021,"Data Axle","041.654464",-70.413027,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1251","Walgreens","402595833","21 South St","Mashpee","MA","02649",2021,"Data Axle","041.613095",-70.489283,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"1252","River Park Food Mart","402596511","1503 River St","Hyde Park","MA","02136",2021,"Data Axle","042.250472",-71.131078,"Supermarket or Other Grocery","445110"
"1253","Wakefield Interfaith Food","402601190","467 Main St","Wakefield","MA","01880",2021,"Data Axle","042.501277",-71.069864,"Supermarket or Other Grocery","445110"
"1254","Cumberland Farms","402601196","767 Main St","Weymouth","MA","02190",2021,"Data Axle","042.179392",-70.955708,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1255","Pueblo Market","402602317","309 Park St","Lawrence","MA","01841",2021,"Data Axle","042.716112",-71.173787,"Supermarket or Other Grocery","445110"
"1256","Cumberland Farms","402620976","463 Center St","Ludlow","MA","01056",2021,"Data Axle","042.170135",-72.480239,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1257","Pine St Mkt","402620981","194 Pine St","Springfield","MA","01105",2021,"Data Axle","042.099521",-72.573163,"Supermarket or Other Grocery","445110"
"1258","Walgreens","402632870","3 Liberty Ln","Norfolk","MA","02056",2021,"Data Axle","042.118303",-71.327271,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"1259","Walgreens","402632872","160 E Central St Ste 1","Franklin","MA","02038",2021,"Data Axle","042.080502",-71.390038,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"1260","Stop & Shop Supermarket","402705964","37 Enon St","Beverly","MA","01915",2021,"Data Axle","042.586017",-70.884915,"Supermarket or Other Grocery","445110"
"1261","Dollar Tree","402763019","714 Main St","Dennis Port","MA","02639",2021,"Data Axle","041.669205",-70.122512,"Dollar Store","452319"
"1262","Circle K","402771425","1400 Russell Rd","Westfield","MA","01085",2021,"Data Axle","042.149911",-72.814794,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1263","Dollar Tree","402773817","438 State Rd","North Dartmouth","MA","02747",2021,"Data Axle","041.640597",-70.999685,"Dollar Store","452319"
"1264","Penguin Convenience Store","402787075","829 S Main St","Bellingham","MA","02019",2021,"Data Axle","042.054503",-71.484048,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1265","Jackson Food Market","402792901","728 Dudley St","Dorchester","MA","02125",2021,"Data Axle","042.318328",-71.067112,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1266","Circle K","402793883","1112 Bay St","Springfield","MA","01109",2021,"Data Axle","042.132872",-72.546759,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1267","Regency Centers","402794615","185 Franklin St","Boston","MA","02110",2021,"Data Axle","042.355387",-71.054805,"Supermarket or Other Grocery","445110"
"1268","Fashion Sonderly","402799940","203 Lawrence St","Lawrence","MA","01841",2021,"Data Axle","042.716914",-71.165862,"Supermarket or Other Grocery","445110"
"1269","CVS/PHARMACY","402809786","215 College Hwy","Southwick","MA","01077",2021,"Data Axle","042.026837",-72.786717,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"1270","Cumberland Farms","402810494","263 Grafton St","Worcester","MA","01604",2021,"Data Axle","042.257095",-71.788265,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1271","Market Basket","402913294","350 Winthrop Ave Ste 10","North Andover","MA","01845",2021,"Data Axle","042.683911",-71.135381,"Supermarket or Other Grocery","445110"
"1272","Concord Convenience","402922029","107 Lowell Rd","Concord","MA","01742",2021,"Data Axle","042.462069",-71.351372,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1273","Presidential Discount Liquors","402940317","25 Scammell St","Quincy","MA","02169",2021,"Data Axle","042.243043",-70.994903,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1274","Azteca Market","402942399","75 Pine St","Waltham","MA","02453",2021,"Data Axle","042.370687",-71.233227,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1275","Walmart Supercenter","402945089","25 Tobias Boland Way","Worcester","MA","01607",2021,"Data Axle","042.233150",-71.791351,"Supermarket or Other Grocery","452210"
"1276","Stop & Shop Supermarket","402951954","460 Blue Hill Ave","Dorchester","MA","02121",2021,"Data Axle","042.309196",-71.081177,"Supermarket or Other Grocery","445110"
"1277","Stop & Shop Supermarket","402952969","40 Franklin Village Dr","Franklin","MA","02038",2021,"Data Axle","042.089203",-71.421639,"Supermarket or Other Grocery","445110"
"1278","Stop & Shop Supermarket","402953379","3900 Falmouth Rd","Marstons Mills","MA","02648",2021,"Data Axle","041.648319",-70.427536,"Supermarket or Other Grocery","445110"
"1279","Stop & Shop Supermarket","402955406","301 Centre St","Jamaica Plain","MA","02130",2021,"Data Axle","042.323000",-71.1032,"Supermarket or Other Grocery","445110"
"1280","Stop & Shop Supermarket","402958264","164 Main St","Saugus","MA","01906",2021,"Data Axle","042.464489",-71.027855,"Supermarket or Other Grocery","445110"
"1281","Stop & Shop Supermarket","402958279","35 Washington St","Lynn","MA","01904",2021,"Data Axle","042.469736",-70.958894,"Supermarket or Other Grocery","445110"
"1282","Dollar Tree","402991051","346 Stockbridge Rd","Great Barrington","MA","01230",2021,"Data Axle","042.210900",-73.3452,"Dollar Store","452319"
"1283","CVS/PHARMACY","403104287","529 Lincoln St","Worcester","MA","01605",2021,"Data Axle","042.291981",-71.774925,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"1284","Dollar Tree","403127080","2101 Bay St Unit B","Taunton","MA","02780",2021,"Data Axle","041.961018",-71.118731,"Dollar Store","452319"
"1285","ALDI","403151018","225 E Main St","Milford","MA","01757",2021,"Data Axle","042.150460",-71.498161,"Supermarket or Other Grocery","445110"
"1286","Market Basket","403153031","122 Sawyer St","New Bedford","MA","02746",2021,"Data Axle","041.660300",-70.9316,"Supermarket or Other Grocery","445110"
"1287","Bow Street Market","403155083","92 Bow St","Everett","MA","02149",2021,"Data Axle","042.397295",-71.063655,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1288","Village Market","403160572","387 Main St S","Barre","MA","01005",2021,"Data Axle","042.378869",-72.107994,"Supermarket or Other Grocery","445110"
"1289","Dollar Tree","403187493","1089 Central St","Leominster","MA","01453",2021,"Data Axle","042.497510",-71.74559,"Dollar Store","452319"
"1290","Sam's Food Stores","403187496","389 Broadway","Lawrence","MA","01841",2021,"Data Axle","042.712740",-71.17418,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1291","Cumberland Farms","403189338","4460 State Hwy","Eastham","MA","02642",2021,"Data Axle","041.855889",-69.98685,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1292","7-ELEVEN","403189374","2302 State Rd","Plymouth","MA","02360",2021,"Data Axle","041.818226",-70.551598,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1293","Tedeschi Food Shops","403190001","11 Sea St","North Weymouth","MA","02191",2021,"Data Axle","042.242133",-70.944547,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1294","CVS/PHARMACY","403207183","1 Mystic View Rd","Everett","MA","02149",2021,"Data Axle","042.402310",-71.070017,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"1295","Walmart Supercenter","403208543","1415 Curran Hwy","North Adams","MA","01247",2021,"Data Axle","042.664394",-73.110316,"Supermarket or Other Grocery","452210"
"1296","S K Raj Inc","403216755","50 Spring St","Winchendon","MA","01475",2021,"Data Axle","042.680481",-72.047498,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1297","Cumberland Farms","403216759","68 Main St","Westminster","MA","01473",2021,"Data Axle","042.548480",-71.915699,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1298","A & J Grocery","403274841","252 High St","Clinton","MA","01510",2021,"Data Axle","042.419781",-71.684593,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1299","CVS/PHARMACY","403299992","479 State Rd","North Dartmouth","MA","02747",2021,"Data Axle","041.638970",-71.002604,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"1300","7-ELEVEN","403345753","3 Barker Rd","East Wareham","MA","02538",2021,"Data Axle","041.786987",-70.639816,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1301","Save-A-Lot Food Stores","403345894","1339 Cove Rd","New Bedford","MA","02744",2021,"Data Axle","041.614756",-70.928371,"Supermarket or Other Grocery","445110"
"1302","Dollar Tree","403356147","1070 Iyannough Rd # 132","Hyannis","MA","02601",2021,"Data Axle","041.674683",-70.304695,"Dollar Store","452319"
"1303","Dollar Tree","403364082","30 American Legion Dr","North Adams","MA","01247",2021,"Data Axle","042.698597",-73.112922,"Dollar Store","452319"
"1304","Dollar Tree","403364182","2991 Cranberry Hwy # A","East Wareham","MA","02538",2021,"Data Axle","041.759465",-70.664462,"Dollar Store","452319"
"1305","E A Express Mail Plus","403366825","7 Cottage Ave","Quincy","MA","02169",2021,"Data Axle","042.249100",-70.999,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1306","Dollar Tree","403370465","430 Liberty St Ste 8","Hanson","MA","02341",2021,"Data Axle","042.066550",-70.87061,"Dollar Store","452319"
"1307","Green Miles Convenience Store","403378616","305 Ashley Blvd","New Bedford","MA","02746",2021,"Data Axle","041.664258",-70.930762,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1308","Marinos Market","403384168","1245 Vfw Pkwy","West Roxbury","MA","02132",2021,"Data Axle","042.277446",-71.172618,"Supermarket or Other Grocery","445110"
"1309","Xtra Mart","403391704","93 Southbridge Rd","North Oxford","MA","01537",2021,"Data Axle","042.162437",-71.899947,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1310","BJ'S Wholesale Club","403494185","1 Highland Cmn W","Hudson","MA","01749",2021,"Data Axle","042.396200",-71.5993,"Warehouse Clubs and Supercenters","452311"
"1311","Boston Food Mart LLC","403503606","30 Tower Rd","Newton","MA","02464",2021,"Data Axle","042.310460",-71.215526,"Supermarket or Other Grocery","445110"
"1312","Peabody Market","403518410","36 Foster St","Peabody","MA","01960",2021,"Data Axle","042.524516",-70.92799,"Supermarket or Other Grocery","445110"
"1313","Cape Side Convenience","403522567","105 Trowbridge Rd","Buzzards Bay","MA","02532",2021,"Data Axle","041.742662",-70.58906,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1314","Target","403565121","250 Granite St Ste 121","Braintree","MA","02184",2021,"Data Axle","042.221878",-71.022354,"Supermarket or Other Grocery","452210"
"1315","CVS/PHARMACY","403570348","400 Lynn Fells Pkwy","Saugus","MA","01906",2021,"Data Axle","042.480723",-71.025884,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"1316","Merkato LLC","403623534","1127 Harrison Ave","Roxbury","MA","02119",2021,"Data Axle","042.330517",-71.0823,"Supermarket or Other Grocery","445110"
"1317","No Name Grocery","403626990","49 Vernon St","Worcester","MA","01610",2021,"Data Axle","042.251554",-71.79528,"Supermarket or Other Grocery","445110"
"1318","CVS/PHARMACY","403634395","1242 Parker St","Springfield","MA","01129",2021,"Data Axle","042.114984",-72.498894,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"1319","Main St Convenience Store","403635318","21 Main St","Brockton","MA","02301",2021,"Data Axle","042.084954",-71.02004,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1320","Waltham Food Court","403647780","315 Moody St","Waltham","MA","02453",2021,"Data Axle","042.370757",-71.237396,"Supermarket or Other Grocery","445110"
"1321","J & J Convenience Store","403655338","685 N Main St","Brockton","MA","02301",2021,"Data Axle","042.100994",-71.021042,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1322","Assalam Market","403684007","1559 N Shore Rd","Revere","MA","02151",2021,"Data Axle","042.406708",-70.994156,"Supermarket or Other Grocery","445110"
"1323","C Market","403685539","268 Westford St","Lowell","MA","01851",2021,"Data Axle","042.635187",-71.325371,"Supermarket or Other Grocery","445110"
"1324","Big Y","403686212","175 University Dr Ste 1","Amherst","MA","01002",2021,"Data Axle","042.367729",-72.534439,"Supermarket or Other Grocery","445110"
"1325","Super Stop & Shop","403686479","40 George Hannum Rd","Belchertown","MA","01007",2021,"Data Axle","042.290032",-72.411513,"Supermarket or Other Grocery","445110"
"1326","XTRA Mart Convenience Stores","403701331","800 South St Ste 500","Waltham","MA","02453",2021,"Data Axle","042.354747",-71.262018,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1327","Walgreens","403728713","933 Pleasant St Ste 7","Fall River","MA","02723",2021,"Data Axle","041.694790",-71.14064,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"1328","Walgreens","403740256","290 Broadway","Lynn","MA","01904",2021,"Data Axle","042.485981",-70.960128,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"1329","Walgreens","403740260","841 Western Ave","Lynn","MA","01905",2021,"Data Axle","042.459989",-70.969241,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"1330","Walgreens","403740266","324 Hancock St","Quincy","MA","02171",2021,"Data Axle","042.276325",-71.027519,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"1331","Walgreens","403740267","1228 Broadway","Saugus","MA","01906",2021,"Data Axle","042.457414",-71.023141,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"1332","El Bombazo Meat Market","403821480","677 Bridge St","Lowell","MA","01850",2021,"Data Axle","042.653840",-71.30197,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445210"
"1333","Sakanaya","403826822","75 Linden St","Allston","MA","02134",2021,"Data Axle","042.352490",-71.13041,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445220"
"1334","CVS/PHARMACY","403844014","423 Donald Lynch Blvd","Marlborough","MA","01752",2021,"Data Axle","042.360474",-71.60656,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"1335","Dollar Tree","403851360","294 Winthrop St Ste 4","Taunton","MA","02780",2021,"Data Axle","041.887654",-71.12119,"Dollar Store","452319"
"1336","Paradise Market","403865502","517 Warren St","Boston","MA","02121",2021,"Data Axle","042.313381",-71.083798,"Supermarket or Other Grocery","445110"
"1337","City Market","403865503","1695 Massachusetts Ave","Cambridge","MA","02138",2021,"Data Axle","042.382927",-71.119354,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1338","Laker's Variety","403865510","67 Appleton St","Boston","MA","02116",2021,"Data Axle","042.345865",-71.072697,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1339","La Central Americana Market","403865511","14 Central Ave","Chelsea","MA","02150",2021,"Data Axle","042.390465",-71.034774,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1340","Solucao Money Transfers","403865516","29 Bow St","Somerville","MA","02143",2021,"Data Axle","042.381381",-71.097227,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1341","Wolcott General Store","403865846","171 Wolcott Sq","Hyde Park","MA","02136",2021,"Data Axle","042.237431",-71.132458,"Supermarket or Other Grocery","445110"
"1342","Super Ahorro Grocery & Food","403865873","300 Bennington St","East Boston","MA","02128",2021,"Data Axle","042.379178",-71.028297,"Supermarket or Other Grocery","445110"
"1343","Andrea Mini Market","403867072","2 Fairmount Ave","Hyde Park","MA","02136",2021,"Data Axle","042.255692",-71.120789,"Supermarket or Other Grocery","445110"
"1344","Vinni's Mini Market","403867079","3 Gladstone St","East Boston","MA","02128",2021,"Data Axle","042.389287",-70.999461,"Supermarket or Other Grocery","445110"
"1345","El Paissa Butchershop","403867099","1010 Bennington St","Boston","MA","02128",2021,"Data Axle","042.386960",-71.006674,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445210"
"1346","Old Japan Inc","403867201","24 Union Park","Boston","MA","02118",2021,"Data Axle","042.342580",-71.071638,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445299"
"1347","CVS/PHARMACY","403867268","833 Massachusetts Ave","Arlington","MA","02476",2021,"Data Axle","042.417175",-71.160446,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"1348","CVS/PHARMACY","403867270","25 Winter St","Boston","MA","02108",2021,"Data Axle","042.356033",-71.061356,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"1349","Pimentel Market","403867884","340 Centre St","Jamaica Plain","MA","02130",2021,"Data Axle","042.322411",-71.106552,"Supermarket or Other Grocery","445110"
"1350","Price Rite","403867885","870 River St","Hyde Park","MA","02136",2021,"Data Axle","042.261910",-71.10771,"Supermarket or Other Grocery","445110"
"1351","Familia Grocery","403867998","243 Grove St","West Roxbury","MA","02132",2021,"Data Axle","042.261446",-71.157307,"Supermarket or Other Grocery","445110"
"1352","Big Y","403879069","700 Main St Ste 7","Great Barrington","MA","01230",2021,"Data Axle","042.197144",-73.360779,"Supermarket or Other Grocery","445110"
"1353","Granite Mart","403888927","308 Willard St","Quincy","MA","02169",2021,"Data Axle","042.245713",-71.0317,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1354","CVS/PHARMACY","403889258","405 Lincoln St","Hingham","MA","02043",2021,"Data Axle","042.248918",-70.924452,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"1355","Walgreens","403898659","429 Brookline Ave","Boston","MA","02215",2021,"Data Axle","042.338596",-71.107892,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"1356","Downtown Mini Mart","403988131","17 Rodman St","Fall River","MA","02721",2021,"Data Axle","041.697999",-71.158538,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1357","Winthrop Market","403991705","290 Broadway","Cambridge","MA","02139",2021,"Data Axle","042.368190",-71.098552,"Supermarket or Other Grocery","445110"
"1358","Dollar Tree","404005813","1207 Washington St Ste 20","Hanover","MA","02339",2021,"Data Axle","042.138208",-70.840171,"Dollar Store","452319"
"1359","Dollar Tree","404012294","950 American Legion Hwy","Roslindale","MA","02131",2021,"Data Axle","042.275009",-71.114784,"Dollar Store","452319"
"1360","Yarmouth Mini Mart","404013102","845 Route 28 Unit 5","South Yarmouth","MA","02664",2021,"Data Axle","041.652018",-70.213726,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1361","Boston Seafood","404015291","8 Seafood Way Unit 2","Boston","MA","02210",2021,"Data Axle","042.348988",-71.031165,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445220"
"1362","Suazo Market Corp","404019023","50 Inman St","Lawrence","MA","01843",2021,"Data Axle","042.688059",-71.159958,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1363","CVS/PHARMACY","404042801","227 Highland Ave","Salem","MA","01970",2021,"Data Axle","042.503690",-70.919964,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"1364","Six Star Market","404043883","170 Main St","Woburn","MA","01801",2021,"Data Axle","042.473201",-71.149863,"Supermarket or Other Grocery","445110"
"1365","CVS/PHARMACY","404049552","101 Commerce Way","Woburn","MA","01801",2021,"Data Axle","042.518337",-71.135321,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"1366","Les Convenience","404057409","308 Salem St","Medford","MA","02155",2021,"Data Axle","042.421348",-71.098034,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1367","Ocean State Job Lot","404057456","30 Commercial St","Medford","MA","02155",2021,"Data Axle","042.409641",-71.087769,"Convenience Stores, Pharmacies, and Drug Stores","452319"
"1368","CVS/PHARMACY","404057562","575 Broadway","Malden","MA","02148",2021,"Data Axle","042.440333",-71.031417,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"1369","CVS/PHARMACY","404061781","81 Taunton Depot Dr","Taunton","MA","02780",2021,"Data Axle","041.878336",-71.06863,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"1370","CVS/PHARMACY","404069910","1205 S Washington St","North Attleboro","MA","02760",2021,"Data Axle","041.940170",-71.352173,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"1371","CVS/PHARMACY","404069933","250 Fortune Blvd","Milford","MA","01757",2021,"Data Axle","042.160548",-71.498093,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"1372","Maverick Market","404148357","205 Maverick St","Boston","MA","02128",2021,"Data Axle","042.368742",-71.036275,"Supermarket or Other Grocery","445110"
"1373","Tedeschi Food Shops","404159966","85 Quincy Ave","Quincy","MA","02169",2021,"Data Axle","042.243038",-70.997131,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1374","Target","404160698","605 Boston Post Rd E","Marlborough","MA","01752",2021,"Data Axle","042.348518",-71.505007,"Supermarket or Other Grocery","452210"
"1375","CVS/PHARMACY","404174280","370 Pulaski Blvd","Bellingham","MA","02019",2021,"Data Axle","042.025141",-71.490472,"Convenience Stores, Pharmacies, and Drug Stores","446110"
"1376","7-ELEVEN","404181036","703 Haverhill St","Lawrence","MA","01841",2021,"Data Axle","042.705048",-71.189735,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1377","Richdale Convenience Store","404201251","585 Essex St","Lynn","MA","01901",2021,"Data Axle","042.465757",-70.950352,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1378","Angel's Market","404201794","503 Washington St","Dorchester","MA","02124",2021,"Data Axle","042.294098",-71.072121,"Supermarket or Other Grocery","445110"
"1379","Red's Best","404201800","37 Fish Pier","Boston","MA","02210",2021,"Data Axle","042.348500",-71.0439,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445220"
"1380","Xtra Mart","404216560","157 Boston Rd","Sutton","MA","01590",2021,"Data Axle","042.159715",-71.739818,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1381","Pecorino","404225400","135 Westboro Rd","North Grafton","MA","01536",2021,"Data Axle","042.243832",-71.691299,"Meat Markets, Fish and Seafood Markets, and All Other Specialty Food Stores","445299"
"1382","Gala Foods","404225929","664 Main St","Worcester","MA","01610",2021,"Data Axle","042.259283",-71.806547,"Supermarket or Other Grocery","445110"
"1383","Super Stop & Shop","404226231","100 Worcester St","North Grafton","MA","01536",2021,"Data Axle","042.220249",-71.696808,"Supermarket or Other Grocery","445110"
"1384","Grace Corner","404259248","997 Rockdale Ave","New Bedford","MA","02740",2021,"Data Axle","041.641998",-70.951302,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1385","Rosie's Convenience","404259252","380 Hathaway Rd","New Bedford","MA","02740",2021,"Data Axle","041.656361",-70.95514,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1386","Brasilierinho Gol Latino","404380397","274 Main St","Marlborough","MA","01752",2021,"Data Axle","042.346446",-71.55253,"Supermarket or Other Grocery","445110"
"1387","Express Food Mart","404412149","183 North End Blvd","Salisbury","MA","01952",2021,"Data Axle","042.851208",-70.818244,"Convenience Stores, Pharmacies, and Drug Stores","445120"
"1388","Target","404458548","70 Worcester Providence Tpke Ste 100","Millbury","MA","01527",2021,"Data Axle","042.197048",-71.777072,"Supermarket or Other Grocery","452210"
"1389","Target","404460140","86 Orchard Hill Park Dr","Leominster","MA","01453",2021,"Data Axle","042.527323",-71.71376,"Supermarket or Other Grocery","452210"
"1390","Target","404462107","423 Donald Lynch Blvd","Marlborough","MA","01752",2021,"Data Axle","042.360474",-71.60656,"Supermarket or Other Grocery","452210"
"1391","Target","404462829","2421 Cranberry Hwy Ste 110","Wareham","MA","02571",2021,"Data Axle","041.774601",-70.744614,"Supermarket or Other Grocery","452210"
"1392","Target","404463646","1205 S Washington St","North Attleboro","MA","02760",2021,"Data Axle","041.940170",-71.352173,"Supermarket or Other Grocery","452210"
"1393","Target","404465435","81 Taunton Depot Dr","Taunton","MA","02780",2021,"Data Axle","041.878336",-71.06863,"Supermarket or Other Grocery","452210"
"1394","Target","404467681","180 Somerville Ave","Somerville","MA","02143",2021,"Data Axle","042.376427",-71.090446,"Supermarket or Other Grocery","452210"
"1395","Target","404472244","101 Commerce Way","Woburn","MA","01801",2021,"Data Axle","042.518337",-71.135321,"Supermarket or Other Grocery","452210"
"1396","Target","404472245","250 Fortune Blvd","Milford","MA","01757",2021,"Data Axle","042.160548",-71.498093,"Supermarket or Other Grocery","452210"
"1397","Target","404474336","330 Turnpike Rd","Westborough","MA","01581",2021,"Data Axle","042.280354",-71.655347,"Supermarket or Other Grocery","452210"
"1398","Target","404474337","655 Cheshire Rd","Lanesborough","MA","01237",2021,"Data Axle","042.493400",-73.202107,"Supermarket or Other Grocery","452210"
